Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
SKF SI600/2Y	0.0005	0.002	0.001				0.0005	0.0089			0.0001	0.0047	0.005	0.003		99.4113							0.0001		0.014	0.001	0.0001	0.0008		0.0105		0.003	0.0005						0.0112	0.0005		0.0001	0.515		0.003						0.0001	0.0001		0.0008		0.0008	0.0008		0.0001	0.0005	
SKF SI600/3F	0.0005	0.001	0.001				0.0005	0.0103			0.0001	0.0044	0.004	0.003		98.1359							0.0001		0.015	0.001	0.0001	0.0008		0.011		0.003	0.0005						0.011	0.0005		0.0001	1.79		0.003						0.0001	0.0001		0.0008		0.0008	0.0008		0.0001	0.0005	
SKF SI600/4W	0.0005	0.003	0.001				0.0005	0.0124			0.0001	0.0044	0.005	0.003		96.9038							0.0001		0.014	0.001	0.0001	0.0008		0.01		0.003	0.0005						0.011	0.0005		0.0001	3.02		0.002						0.0001	0.0001		0.0008		0.0008	0.0008		0.0001	0.0005	
SKF SN605/3N											0.0001					99.9263							0.0001				0.0001															0.0001			0.073						0.0001	0.0001							0.0001		
SKF SN607/2J											0.0001					99.9833							0.0001				0.0001															0.0001			0.016						0.0001	0.0001							0.0001		
SKF SN609/4L											0.0001					99.8333							0.0001				0.0001															0.0001			0.166						0.0001	0.0001							0.0001		
SKF V600/4O	0.0005	0.004	0.001				0.0005	0.005			0.0001	0.0042	0.005	0.003		98.7332							0.0001		0.004	0.001	0.0001	0.0008		0.008		0.002	0.0005						0.008	0.0005		0.0001	0.003		0.003						0.0001	0.0001		0.0008		1.21	0.0008		0.0001	0.0005	
SKF V604/2I	0.0005	0.003	0.001				0.0005	0.0043			0.0001	0.0045	0.005	0.003		99.671							0.0001		0.015	0.001	0.0001	0.0008		0.0095		0.003	0.0005						0.0111	0.0005		0.0001	0.004		0.001						0.0001	0.0001		0.0008		0.258	0.0008		0.0001	0.0005	
SKF V604/3H	0.0005	0.006	0.001				0.0005	0.0039			0.0001	0.0112	0.005	0.003		99.218							0.0001		0.006	0.001	0.0001	0.0008		0.0092		0.004	0.0005						0.0121	0.0005		0.0001	0.021		0.003						0.0001	0.0001		0.0008		0.69	0.0008		0.0001	0.0005	
SKF W600/3P	0.0005	0.003	0.001				0.0005	0.0048			0.0001	0.0043	0.004	0.003		95.8722							0.0001		0.005	0.001	0.0001	0.0008		0.0096		0.006	0.0005						0.0125	0.0005		0.0001	0.006		0.002						0.0001	0.0001		0.0008		0.0008	4.06		0.0001	0.0005	
SKF W600/4R	0.0005	0.001	0.001				0.0005	0.003			0.0001	0.0041	0.003	0.003		93.1031							0.0001		0.005	0.001	0.0001	0.0008		0.01		0.005	0.0005						0.0112	0.0005		0.0001	0.002		0.002						0.0001	0.0001		0.0008		0.0008	6.84		0.0001	0.0005	
SKF W602/2L	0.0005	0.006	0.001				0.0005	0.0053			0.0001	0.0048	0.005	0.005		97.7241							0.0001		0.022	0.009	0.0001	0.0008		0.0098		0.003	0.0005						0.0122	0.0005		0.0001	0.005		0.002						0.0001	0.0001		0.0008		0.001	2.18		0.0001	0.0005	
SKODA SK12		0.35	0.007		0.001		0.002	0.05				0.045	10.38	0.1		65.5555									0.72	0.1				19.9		0.037	0.004						0.011	0.002			0.93		0.053									1.45		0.19	0.11		0.0025		
SKODA SK13		0.31	0.005				0.001	0.11				0.056	13.9	0.05		46.651									1.13	0.35		0.001		33.6		0.037	0.003						0.008	0.001			0.37		0.025									1.03		0.13	2.23		0.002		
SPL CZ1A		0.048			0.0004		0.005	3.26			0.018		0.018	0.015		92.8796								0.052	0.858	0.119				0.233		0.044							0.011				2.33		0.035									0.039		0.018	0.016		0.001		
SPL CZ1G		0.062			0.0034		0.005	3.22			0.023	0.01	0.044	0.027		92.6006								0.05	0.701	0.185				0.357		0.036	0.016						0.007				2.53		0.028									0.054		0.019	0.015		0.003	0.004	
SPL CZ2B		0.026			0.01			3.54			0.03	0.023	0.051	0.69		93.309								0.03	0.098	0.008				0.634		0.049							0.01	0.017			1.28		0.021									0.099		0.059	0.003		0.013		
SPL CZ2G		0.019			0.0023		0.006	3.78			0.013	0.012	0.027	0.88		93.1167								0.036	0.096	0.002				0.65		0.125	0.008						0.009	0.029			1.1		0.015							0.004		0.029		0.017	0.004		0.02		
SPL CZ3A		0.025			0.0053		0.008	3.72			0.013	0.007	0.205	0.406		92.3367								0.013	0.333	0.514				0.05		0.022	0.007						0.011				2.3		0.008									0.006		0.01					
SPL CZ3D		0.055	0.018		0.0071		0.002	3.24			0.006	0.014	0.236	0.396		92.9719								0.016	0.317	0.453				0.025		0.008	0.005						0.006	0.007			2.12		0.009									0.016		0.072					
SPL CZ4A		0.015						4.18				0.002	0.04	0.081		94.552									0.236	0.002				0.056		0.053	0.006						0.034				0.71		0.007									0.015		0.004			0.007		
SPL CZ4E		0.003			0.002			4.45				0.033	0.03	0.005		95.244									0.034	0.002				0.049		0.023	0.002						0.006				0.09		0.001									0.011		0.015					
SPL CZ5A		0.06						2.3					0.054	0.014		95.164									0.804	0.1				0.096		0.035							0.1				1.26											0.008		0.005					
SPL CZ5C		0.103			0.0078		0.007	2.3				0.013	0.085	0.013		94.8722									0.704	0.104				0.188		0.027							0.091	0.002			1.4		0.002							0.01		0.008		0.054				0.009	
SPL CZ6A		0.022						3.14					1.4	0.225		89.945									1.22	0.005				0.023		0.077							0.032	0.056			3.37		0.119									0.066		0.3					
SPL CZ6C		0.024			0.0024			3.11				0.005	1.33	0.273		90.1226									1.25	0.006				0.027		0.097	0.003						0.019	0.044			3.25		0.131									0.107		0.192	0.007				
SPL CZ7A		0.029						3.11				0.044	0.479	0.022		91.689									0.321	1.07				1.29		0.043							0.019				1.83											0.027		0.005	0.022				
SPL CZ7C		0.04			0.0008		0.002	3.55				0.048	0.542	0.016		91.2622									0.389	0.966				1.26		0.028							0.026				1.73		0.004							0.006		0.026		0.067	0.037				
SPL CZ8A		0.015					0.017	3.49					0.126	0.116		93.147									0.408	0.026				0.094		0.169	0.006						0.073	0.001			2.2		0.04									0.027		0.034	0.011				
SPL CZ8C		0.004	0.006				0.009	3.41				0.03	0.125	0.158		93.425									0.408	0.041				0.102		0.168	0.008						0.058	0.014			1.93		0.067									0.022		0.015					
SURA L-7276								0.031								98.573									0.37														0.016				1.01																		
SURA L-7281								0.031								96.807									0.089														0.023				3.05																		
SURA N-9540								0.033								97.29									0.1														0.007				2.57																		
SURA N-9600								0.041								96.439									0.08														0.02				3.42																		
SURA N-9670								0.032								98.129									0.28														0.009				1.55																		
SUS RG14/365		0.04			0.06			3			0.05		1	0.07		91.785							0.02	0.06	0.2					1		0.06							0.005				2.1		0.3									0.04		0.21					
SUS RN19/39		0.46	0.07		0.005		0.06	1.06	0.001			0.72	2.94	0.58		84.794									1.64	0.87	0.03	0.42		3.06		0.12	0.03						0.04	0.06			1.26		0.07						0.46	0.04		0.15		0.42	0.45		0.03	0.16	
SUS SNSBCD		0.044						3.8		  0.00050000			0.12	0.01		94.3295									0.14					0.025		0.055							0.045				0.65		0.58									0.036		0.165					
TEKMELT S/2-CR1		0.2						2.9					2.33	0.2		73.567									1.38	0.045				16.6		0.022							0.006				2.75																		
TEKMELT S/2-CR2A								2.95					2.59	0.39		73.69									0.7					18.3													1.38																		
TEKMELT S/2-CR3		0.23						2.32					2.79	0.67		68.471									1.25	0.04				21.7		0.023							0.006				2.5																		
TEKMELT S/2-CR5		0.036						2.89					3.64	0.23		71.422									1.19	0.04				17.7		0.023							0.009				2.82																		
TEKMELT S/2-CR6		0.29						2.43					4.65	0.36		67.526									1.05	0.03				19.1		0.018							0.006				4.54																		
TEKMELT S/2-CR7		0.18						2.63					4.81	0.27		68.233									1.11	0.04				17.5		0.02							0.007				5.2																		
TEKMELT S/3-CR1								2.46					0.28	0.38		60.875									0.9	0.02				32.2		0.02							0.005				2.86																		
TEKMELT S/3-CR2								2.52					3.8	0.36		57.054									0.81	0.03				32.5		0.019							0.007				2.9																		
TEKMELT S/3-CR3								2.65					5.07	0.35		55.764									0.88	0.03				32.5		0.019							0.007				2.73																		
TEKMELT S/3-CR4								2.63					5.85	0.35		54.993									1.06	0.03				32.1		0.02							0.007				2.96																		
TEKMELT S/3-CR5								2.51					3.63	0.17		55.283									1.61	0.03				35.8		0.021							0.006				0.94																		
TEKMELT S/3-CR6								2.45					3.65	0.34		59.896									0.54	0.03				28.1		0.018							0.006				4.97																		
TEKSER 1-1		0.044	0.1017		0.0035			0.0403				0.3134	1.3308	0.7419		94.6307									0.2261	0.2681		0.019		0.6923		0.0778							0.106			0.0607	0.9346		0.0571							0.01		0.0176		0.1402	0.0535		0.003	0.1277	
TEKSER 1-2		0.1018	0.0522		0.0008			0.1262				0.0122	0.9175	0.259		94.8657									0.648	0.7884		0.0284		0.3978		0.0559							0.0783			0.0458	0.6515		0.0686							0.0107		0.0078		0.058	0.7564		0.005	0.064	
TEKSER 1-3		0.1069	0.0235		0.0015			0.2827				0.1906	0.6389	0.4908		94.6145									1.3748	0.0737		0.0456		0.9169		0.0215							0.0397			0.0062	0.4125		0.0259							0.0395		0.0132		0.4714	0.196		0.004	0.0097	
TEKSER 1-4		0.2222	0.0092		0.0063			0.5221				0.1005	0.3788	0.0594		94.7295									1.9496	0.5383		0.0757		0.1776		0.0169							0.0154			0.0155	0.2083		0.0025							0.0288		0.0524		0.2918	0.5708			0.0284	
TEKSER 1-5		0.1868	0.0148		0.0022			0.7653				0.0555	0.1652	0.1552		95.221									0.8989	0.1764		0.0067		1.3158		0.0071							0.0066			0.0238	0.1576		0.0085							0.0203		0.0705		0.3591	0.3807			0.002	
TEKSER 2-1		0.0041	0.0397		0.0002			0.0134				0.0154	0.1391	0.0129		98.8819									0.0849	0.1971		0.1227		0.0256		0.1354							0.0053			0.0454	0.0792		0.0022							0.0026		0.0023		0.0053	0.1833			0.002	
TEKSER 2-2		0.0384	0.0361		0.0027			0.0923				0.037	0.0803	0.0284		98.7795									0.2525	0.1285		0.0744		0.0484		0.083							0.0109			0.0255	0.0676		0.0161							0.0085		0.0199		0.0256	0.1288			0.0156	
TEKSER 2-3		0.0315	0.0234		0.0036			0.1715				0.1259	0.0613	0.0497		98.4818									0.3687	0.0841		0.0571		0.0854		0.0319							0.0204			0.0165	0.0798		0.024							0.0163		0.0383		0.0544	0.0683			0.1061	
TEKSER 2-4		0.0284	0.0114		0.0071			0.311				0.0663	0.0409	0.0804		98.1522									0.6847	0.0359		0.0292		0.0856		0.0164							0.0417			0.0073	0.0845		0.0569							0.0258		0.0857		0.0597	0.0312			0.0577	
TEKSER 2-5		0.1052	0.0063		0.0115			0.5154				0.2126	0.0283	0.1503		96.9562									0.9424	0.0163		0.0117		0.1424		0.0096							0.0597			0.004	0.2649		0.0795							0.0465		0.2245		0.1519	0.0147			0.0461	
TEKSER 4-5		0.05						0.312					0.759	0.258		96.104									1.038	0.202				0.62		0.075	0.103						0.249			0.028	0.167									0.035									
TEKSER 4-7		0.043						0.424					0.095	0.393		95.394									1.33	0.03				1.315		0.013	0.041						0.351			0.006	0.523									0.042									
TNO 1								0.024					24.398	0.626		62.615									0.77	3.7	0.213			6.827		0.025							0.002				0.175														0.625				
TNO 2								0.02					24.8	1.9		61.999									0.9	3.3	0.16			6.4		0.017							0.004				0.5																		
TNO 3								0.024					25.1			64.777									1.9	1.5	0.18			6.1		0.025							0.004				0.39																		
TNO 4								0.021					22			67.015									1.5	3.16	0.179			5.7		0.024							0.001				0.4																		
TNO 5								0.024					22.8			66.497									1.5	3.1	0.11			5.5		0.028							0.001				0.44																		
TNO 7								0.013					24.44			63.874									0.37	3.69	0.29			7.05		0.022							0.001				0.25																		
TRP 1045		0.035	0.002					0.0023				0.003	0.013	0.012		99.6208									0.21	0.001	0.0046	0.024		0.016		0.008							0.0043				0.012		0.0005									0.029		0.002				0.0005	
TURRET 1A		0.003						0.59				2.03	1.27	0.05		75.464									19.1	0.54				0.085		0.01							0.006				0.84		0.005											0.007					
TURRET 2A		0.003						0.82				2.07	0.29	0.1		83.085									9.85	1.52				0.485		0.025							0.022				1.6		0.05											0.08					
TURRET 3A		0.01						1.12				0.8	0.56	0.175		83.458									11.75	0.3				0.3		0.075							0.022				1.34		0.03											0.06					
TURRET 4A		0.01						1.47				2.12	2.03	0.22		78.688									12.7	0.74				0.92		0.044							0.018				0.94		0.045											0.055					
TURRET 4Q		0.006						1.47					2.28	0.28		79.391									13.6	0.81				1.12		0.078							0.005				0.9		0.03											0.03					
TURRET 5A		0.02						1.8				0.77	3.54	0.63		79.98595									7.6	1.97				1.63		0.035							0.064				1.87		0.055									0.00005		0.03					
TURRET 5M		0.02						1.73					3.61	0.68		80.352									8.3	1.96				1.52		0.054							0.024				1.7		0.01											0.04					
TURRET C1A		0.01	0.003		0.001			3.19	0.01		0.011	0.08	0.25	0.2		91.785								0.003	1.39	0.03		0.005		0.58		0.15	0.005						0.065	0.055			1.55		0.037									0.24		0.3	0.03			0.02	
TURRET C1C		0.01	0.005		0.001			2.9	0.0008		0.009	0.1	0.23	0.22		92.1682								0.005	1.45	0.01		0.005		0.77		0.095	0.005						0.061	0.05			1.53		0.025									0.15		0.135	0.055			0.01	
TURRET C2B		0.031	0.045		0.005			3.04	0.0032		0.02	0.12	1.06	0.21		89.7618								0.002	1.18	0.12		0.01		1.9		0.302	0.012						0.101	0.073			1.48		0.06									0.07		0.35	0.04			0.004	
TURRET C2D		0.02	0.035		0.001			3.25	0.001		0.01	0.1	1.1	0.23		90.392								0.001	1.33	0.13		0.008		1.5		0.24	0.01						0.085	0.048			1.1		0.011									0.05		0.31	0.035			0.003	
TURRET C3D		0.016	0.095		0.001			3.42	0.0036		0.025	0.23	1.98	0.15		87.0044								0.002	0.64	0.18		0.01		3.2		0.55	0.02						0.127	0.245			1.11		0.2									0.05		0.69	0.045			0.006	
TURRET C3H		0.008	0.12		0.001			3.68	0.001		0.005	0.23	2.1	0.07		87.527								0.003	0.82	0.2		0.007		2.79		0.4	0.029						0.12	0.16			0.86		0.12									0.03		0.64	0.075			0.004	
TURRET C4A		0.005	0.02		0.0015			2	0.00005		0.004	0.003	1.57	0.29		89.91645								0.003	0.67	0.13		0.007		2.02		0.14	0.003						0.068	0.01			2.91		0.03									0.06		0.01	0.115			0.014	
TURRET C4D		0.013	0.005		0.001			2.08	0.001		0.001	0.015	1.76	0.34		89.05299								0.001	1.01	0.14		0.005		2.44		0.088	0.008						0.095	0.008			2.7		0.018									0.08		0.01	0.125			0.003	
TURRET C5C		0.045	0.027		0.001			2.8	0.0046		0.003	0.04	1.04	0.55		90.0844								0.001	0.96	0.53		0.01		1.18		0.077	0.013						0.088	0.11			2.2		0.036									0.1		0.08	0.01			0.01	
TURRET C5E		0.025	0.02		0.001			2.82	0.001		0.001	0.07	1.08	0.3		91.015								0.001	1.1	0.47		0.007		1.01		0.084	0.001						0.089	0.028			1.72		0.032									0.04		0.07	0.005			0.01	
TURRET C6A		0.003	0.035		0.1			3.31	0.0001		0.008	0.051	0.61	1		91.0229								0.002	1.07	1.3		0.01		0.14		0.079	0.002						0.068	0.045			0.75		0.059									0.18		0.145	0.005			0.005	
TURRET C6C		0.01	0.055		0.001			3.45	0.0001		0.004	0.06	0.49	0.86		91.8279								0.002	1.18	0.99		0.007		0.08		0.064	0.005						0.069	0.05			0.45		0.025									0.15		0.075	0.08			0.015	
TURRET C7C		0.007	0.005		0.001			2.97	0.0001		0.002	0.006	0.16	0.07		93.7349								0.002	2.05	0.03		0.048		0.08		0.016	0.002						0.021	0.005			0.72		0.01									0.01		0.005	0.035			0.01	
TURRET C8D		0.06	0.06		0.048			2.93	0.00008		0.001	0.22	0.1	0.3		92.43692								0.001	0.61	0.18		0.005		0.16		1.02	0.02						0.19	0.04			1.45		0.04									0.08		0.04	0.005			0.003	
UGI 344092			0.001					0.076	0.0028			0.089	17.72	0.2		66.6607								0.0013	7.051	0.208		0.005		7.051		0.024	0.0005						0.0112				0.757								0.014			0.0005		0.081	0.03		0.009	0.007	
UGI 344098			0.001					1.707	0.0028			0.079	18.15	0.235		72.6252								0.0011	1.157	0.247		0.007		5.38		0.021	0.0058						0.0235				0.193		0.007									0.0026		0.091	0.049		0.012	0.003	
UGI 345084			0.001					0.011	0.0038			0.025	16.29	2.903		70.2411								0.0009	7.483	0.287		0.0005		1.848		0.021	0.0005						0.0065				0.705		0.036									0.0007		0.095	0.026		0.008	0.007	
ULTRA 7K08		2.22						0.0004	0.00025			0.00005	20.05	0.00005		73.7831									0.00005	1.99	0.0005			0.0005	0.0015	0.003							0.0001				0.0005														1.95				
ULTRA 8K01		0.0241						0.001	0.00025			0.00005	19.95	0.0002		75.0504									0.0001	4.97	0.0007			0.00005	0.0022	0.00015							0.0003				0.0005																		
UNS K93120		0.104			0.0001			0.023	0.001			9.08	0.076	0.005		66.4239									0.001	5.04		0.001		18.4		0.001	0.01						0.01			0.001	0.076		0.001						0.001			0.737		0.001	0.001			0.006	
UNS K94610		0.001			0.0001			0.02	0.001			17.3	0.147	0.089		52.81491								0.001	0.24	0.103		0.001		29.2		0.006	0.001						0.001			0.009	0.05		0.001						0.001			0.006		0.005	0.001			0.001	
USS BBG		0.29			0.0026			0.031					4.26			80.0424									0.13	2.94				11.9		0.006							0.013				0.13											0.25		0.005					
USS DDD					0.0008			0.087					18.27			67.7832									1.77					10.67		0.002							0.003				0.971											0.443							
USS DDH		0.039			0.0003			0.089				0.183	0.26	0.255		89.2683									0.42	0.026		0.01		9.17		0.02	0.0001						0.019				0.23		0.0003									0.005		0.005					
USS DDL								0.09					19.27			61.295									1.68	3.55				13.22		0.002							0.004				0.889																		
VAL 14968		0.004	0.003		0.0036			0.105	0.001			0.014	8.911	0.081		89.3553									0.429	0.471	0.0426	0.057		0.124		0.016	0.0007						0.0017	0.0001			0.176		0.008									0.004		0.192					
VAL 377780		0.026						0.011					11.94	0.04		79.491									0.59	1.92	0.013			5.81		0.015							0.001				0.03											0.083		0.03					
VAL 53058		0.008			0.0049			0.115				1.62	11.5	0.08		84.9064									0.35	0.29	0.0665			0.29		0.018							0.001				0.49		0.0001									0.0001		0.26					
VAL 53059		0.005			0.007			0.14				1.53	11.45	0.07		84.2078									0.49	1.3	0.072			0.18		0.017							0.001				0.29		0.0001									0.0001		0.24					
VASKUT 003								3.26					0.23	0.16		93.304									0.43	0.23				0.27		0.159							0.077				1.88																		
VASKUT 113								2.59						0.11		93.776									0.12							0.159							0.035				3.21																		
VASKUT 114								3.04						0.07		93.244									0.49							0.232							0.034				2.89																		
VASKUT 115								3.12						0.05		94.086									0.84							0.082							0.042				1.78																		
VASKUT 116								3.28						0.04		93.635									1.06							0.21							0.065				1.71																		
VASKUT 117								3.88						0.03		93.356									1.42							0.213							0.051				1.05																		
VASKUT 118								4.55						0.027		93.167									1.7							0.222							0.054				0.28																		
VASKUT 119								1.94						0.03		94.81									0.68							0.21							0.01				2.32																		
VASKUT 201								2.77					2.9	0.1		88.837									0.74	0.13				2.47		0.024							0.009				1.71		0.31																
VASKUT 202								3.16					2.36	0.24		88.906									0.81	0.44				2.07		0.024							0.01				1.77		0.21																
VASKUT 203								3.14					1.76	0.43		89.367									0.79	0.91				1.63		0.024							0.009				1.78		0.16																
VASKUT 204								3.15					1.22	0.64		89.683									0.8	1.38				1.09		0.023							0.009				1.79		0.215																
VASKUT 205								3.32					0.64	0.81		90.08									0.8	1.79				0.61		0.025							0.01				1.88		0.035																
VASKUT 206								3.32					0.12	1.01		90.466									0.75	2.14				0.21		0.027							0.01				1.84		0.107																
VASKUT 301					0.0017		0.002	2					0.105	0.71		94.9623									0.44							0.129							0.06				1.48											0.11							
VASKUT 302					0.0019		0.007	2.25					0.14	0.47		94.9421									0.64							0.069							0.138				1.26											0.082							
VASKUT 303					0.0018		0.011	2.46					0.2	0.27		95.0072									0.74							0.045							0.29				0.93											0.045							
VASKUT A1		0.1	0.015		0.0006		0.001	0.05					1.46	0.026		97.3019									0.56			0.007		0.022		0.018	0.0005						0.01	0.002			0.4		0.003									0.003		0.015				0.005	
VASKUT A11/1		0.02						0.043					0.02	0.047		96.2623									0.21	1.08		0.16		0.04		0.011							0.0137	0.001			1.46		0.002									0.17		0.46					
VASKUT A12		0.18	0.007					0.031				0.012	1.25	0.18		93.709									0.31	0.47		0.03		2.43		0.014							0.082	0.013			1.19											0.05		0.042					
VASKUT A13		0.042	0.07		0.002			0.104				0.011	0.14	0.166		94.775									0.49	0.91				1.93		0.053							0.073	0.024			0.81		0.06									0.11		0.23					
VASKUT A14		0.01	0.13		0.004			0.12				0.07	0.59	0.2		94.752									0.75	0.25		0.044		1.32		0.041							0.052	0.047			0.73		0.1									0.12		0.67					
VASKUT A15		0.03	0.06		0.008			0.34					0.79	0.29		94.625									0.99	0.55		0.16		0.32		0.071	0.004						0.042				0.7		0.13									0.09		0.8					
VASKUT A16/1		0.1	0.007					0.36					1.45	0.25		94.552									1.13	0.062				0.92		0.063							0.023	0.001			0.55		0.007									0.085		0.44					
VASKUT A17		0.016	0.032		0.012			0.78				0.039	0.24	0.53		95.099									1.79	0.074		0.043		0.59		0.039							0.024	0.1			0.37		0.05									0.022		0.15					
VASKUT A18		0.02	0.003		0.011			1.16					0.9	0.066		95.387									1.99			0.035		0.125		0.014							0.007	0.005			0.15		0.016									0.011		0.1					
VASKUT A19/1		0.1			0.006			0.22					1.04	0.11		96.502									0.84	0.012		0.12		0.11		0.019							0.016	0.001			0.33		0.004									0.23		0.34					
VASKUT A2		0.053	0.005		0.0014		0.001	0.17					0.66	0.077		96.8246									1.02	0.051		0.005		0.075		0.061	0.003						0.083	0.014			0.8		0.014									0.024		0.05				0.008	
VASKUT A2/C		0.053	0.005		0.0014		0.001	0.14					0.66	0.077		96.8546									1.02	0.051		0.005		0.075		0.061	0.003						0.083	0.014			0.8		0.014									0.024		0.05				0.008	
VASKUT A3		0.054	0.011		0.0046		0.001	0.19					0.37	0.22		96.3304									1.68	0.18		0.019		0.26		0.041	0.001						0.048	0.004			0.29		0.015									0.074		0.18				0.027	
VASKUT A3/B		0.054	0.011		0.0046		0.001	0.19					0.37	0.22		96.3304									1.68	0.18		0.019		0.26		0.041	0.001						0.048	0.004			0.29		0.015									0.074		0.18				0.027	
VASKUT A4		0.32	0.008		0.0017		0.005	0.34					1.1	0.12		96.3183									0.48	0.11		0.001		0.12		0.111	0.008						0.061	0.026			0.52		0.03									0.15		0.15				0.02	
VASKUT A5		0.044	0.009		0.007		0.005	0.62					0.16	0.46		96.604									0.28	0.3		0.018		0.45		0.016	0.008						0.025	0.038			0.33		0.055									0.3		0.26				0.011	
VASKUT A6		0.013	0.005		0.008		0.008	0.94					0.045	0.35		96.726									0.06	0.37		0.041		0.37		0.015	0.014						0.01	0.044			0.07		0.077									0.37		0.46				0.004	
VASKUT A8		0.21	0.016		0.0017		0.007	0.032					0.27	0.13		97.1663									0.15	0.46		0.62		0.14		0.011	0.009						0.013	0.05			0.32		0.024									0.12		0.24				0.01	
VASKUT A9		0.13	0.028		0.006		0.005	0.16					0.08	0.35		94.949									1.84			0.45		0.52		0.068	0.022						0.026	0.014			1.09		0.027									0.06		0.09				0.085	
VASKUT B1								0.98					1.83	0.5		90.632									0.075					4.08		0.019							0.02				1.79																	0.074	
VASKUT B1/1								0.97					1.66	0.14		91.435									0.205					3.96		0.017							0.032				1.58																	0.001	
VASKUT B10		0.004	0.005					0.011					0.01	0.032		99.86									0.019	0.005				0.023		0.008							0.01				0.006											0.002		0.005					
VASKUT B12		0.007	0.011		0.0035			0.43				0.011	1.32	0.41		94.7085									0.76	0.21		0.022		1.62		0.028							0.048				0.34		0.032									0.011		0.026				0.002	
VASKUT B14					0.0006			1.16			0.002	0.3	3.17	0.107		91.1474									0.65	1.25		0.41		0.16		0.028							0.005				1.21											0.26		0.14					
VASKUT B2/1		0.082						0.067						0.24		94.128									1.34	1.09				1.49		0.047							0.046				0.34											0.22		0.91					
VASKUT B3								0.2					5.94	0.25		90.553									0.14							0.012							0.025				0.53													1.16	1.19				
VASKUT B4								0.55						0.49		95.99									1.07							0.047							0.043				1.72																	0.09	
VASKUT B5		0.4						0.092					0.08	0.2		92.126									1.92	1.4				1.99		0.049							0.043				0.43											0.48		0.79					
VASKUT B5/1		0.35						0.12					0.09	0.15		92.543									1.85	1.39				1.99		0.023							0.054				0.41											0.53		0.5					
VASKUT E12		0.01			0.001			0.1				0.11	0.58	0.5		95.477									0.33	0.71				1.39		0.018							0.024				0.15											0.01		0.26	0.33				
VASKUT E18		0.7			0.004			0.64				0.07	1.26	0.1		93.936									0.89	0.2				0.7		0.04							0.08				0.6											0.44		0.04	0.3				
VASKUT E20		0.04			0.007			0.19				0.02	1.6	0.25		94.013									1.1	0.22				0.68		0.017							0.003				0.71											0.27		0.7	0.18				
VASKUT E21		0.01			0.004			0.24				0.02	1.52	0.23		96.461									0.25	0.13				0.54		0.012							0.003				0.09											0.05		0.33	0.11				
VASKUT E25		0.22			0.009			0.075				0.02	1.64	0.54		91.26									1.86	0.39				0.23		0.03							0.046				1.88											1.4		0.3	0.1				
VASKUT H2								0.42					15	0.35		82.017									0.91					0.31		0.02							0.003				0.42											0.05			0.5				
VASKUT H4								0.5					18.1	0.22		79.028									0.78					0.21		0.02							0.002				0.71											0.14			0.29				
VASKUT H5/16								0.12					21.8	0.22		76.323									0.48					0.2		0.017							0.003				0.7											0.037			0.1				
VASKUT H5/216								0.12					21.8	0.22		76.347									0.48					0.2		0.017							0.003				0.7											0.013			0.1				
VASKUT H6/1-133								0.2					18.9	0.1		79.21									0.49					0.15		0.021							0.024				0.67											0.115			0.12				
VASKUT H6/1-143								0.2					18.9	0.1		79.213									0.49					0.15		0.021							0.024				0.67											0.112			0.12				
VASKUT H7/1-152								0.062					9.07	0.085		89.523									0.35					0.1		0.018							0.022				0.42											0.2			0.15				
VASKUT K10								0.155					17.5	0.16		64.333									1.77	2.98		0.98		11.2		0.022							0.02				0.88																		
VASKUT K4								0.52					1.24	0.28		96.315									0.84					0.1		0.02							0.025				0.46													0.2					
VASKUT K6								0.51					0.96	0.26		95.044									0.79	0.37				1.72		0.02							0.026				0.3																		
VASKUT K8		1.53						0.061					23.5	0.18		72.206									1.1							0.026							0.017				1.38																		
VASKUT K9		0.01						0.096					0.64	0.73		94.426									1.53	0.56		0.04		0.97		0.01							0.018				0.59											0.11		0.27					
VASKUT S10								0.36					4.1	0.47		66.174									1.54	3.67				21.9		0.02							0.006				1.21											0.55							
VASKUT S11								0.2					1.22	0.2		66.912									2.15	0.76				27.8		0.018							0.01				0.54											0.19							
VASKUT S12								0.135					16.7	0.05		62.009									1.35	1.17				18.1		0.026							0.01				0.43											0.02							
VASKUT S13								0.05					0.16	0.14		63.433									0.58	3.15				32.4		0.017							0.03				0.03											0.01							
VASKUT S14								0.03					12.8	0.11		72.061									1.15	1.06				12.5		0.017							0.022				0.25																		
VASKUT S15								0.043					16.7	1.54		74.04395									0.38	2.46		0.64		3.9		0.02							0.013				0.26											0.00005							
VASKUT S16								0.59					23.6	2.06		63.543									0.54	0.46		1.41		7.51		0.02							0.017				0.25																		
VASKUT S19								0.26					7	0.19		76.109									0.32	0.11		0.81		12.8		0.012							0.021				2.32											0.048							
VASKUT S20								0.097					2.06	0.44		71.487									1.5	3.15		1.22		18.2		0.011							0.025				1.8											0.01							
VASKUT S21								0.37					3.99	0.11		67.122									0.19	4.12				22.3		0.017							0.021				1.26											0.5							
