Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
IARM 2C		0.0052	0.002		0.0021		0.0002	0.017	0.0035			0.105	18.44	0.42		69.50864								0.0002	1.73	0.45	0.0835	0.01		8.49	0.008	0.0285	0.0005						0.0226			0.001	0.6		0.008							0.00006		0.002		0.043	0.018			0.001	
IARM 309A		0.11	0.004		0.0032			0.0059	0.001			12.3	0.053	0.023		62.8368									0.018	4.71	0.001	0.004		18.4	0.0005	0.004							0.0006				0.02		0.001						0.006			1.47		0.01	0.01			0.008	
IARM 30B		0.024	0.007		0.0001			0.42	0.0008			0.009	0.95	0.31		96.8289									0.87	0.17	0.0094	0.002		0.066	0.0008	0.014	0.01						0.025				0.25		0.01									0.002		0.006	0.01			0.005	
IARM 31B		0.027	0.006		0.0002			0.41	0.0005			0.01	0.87	0.23		95.3304									0.71	0.26	0.0081	0.002		1.81	0.0008	0.013	0.01						0.022				0.25		0.01									0.003		0.006	0.009			0.002	
IARM 32B		0.038	0.005		0.0002			0.2	0.003			0.009	0.54	0.14		97.32									0.81	0.15	0.0078	0.003		0.44	0.003	0.016	0.01						0.024				0.25		0.011									0.001		0.004	0.01			0.005	
IARM 33B		0.022	0.005		0.0002			0.19	0.0002			0.01	0.17	0.15		96.7176									0.54	0.22	0.007	0.003		1.68	0.002	0.01	0.01						0.014				0.22		0.01									0.002		0.002	0.01			0.005	
IARM 34B		0.024	0.006		0.0002			0.48	0.0002			0.009	0.94	0.21		96.7839									0.81	0.053	0.0089	0.002		0.14	0.0018	0.021	0.01						0.021				0.29		0.012									0.002		0.16	0.01			0.005	
IARM 35B		0.016	0.006		0.0005			0.13	0.0001			0.008	1.12	0.11		96.9629									0.45	0.46	0.0079	0.003		0.084	0.0016	0.006	0.01						0.015				0.58		0.006									0.003		0.005	0.01			0.005	
IARM 36B		0.03	0.009		0.0002			0.14	0.0002			0.012	2.18	0.13		95.5696									0.49	0.95	0.0102	0.004		0.18	0.0018	0.01	0.003						0.038				0.21		0.008									0.003		0.006	0.01			0.005	
IARM 37A		0.03	0.0068		0.0003			0.1275	0.0002			0.0146	4.2738	0.1261		94.0409									0.4587	0.4637	0.019	0.0039		0.101	0.0034	0.0169	0.005						0.0177	0.0012			0.249		0.0078							0.0021		0.0042		0.0116	0.0113			0.0033	
IARM 37B		0.025	0.006		0.0002		0.00025	0.119	0.0004			0.017	4.82	0.137		93.53385								0.0005	0.431	0.47	0.0155	0.005		0.11	0.0024	0.011	0.0003						0.016	0.004		0.0005	0.235		0.008						0.0005			0.0021		0.012	0.013		0.0025	0.002	
IARM 38B		0.032	0.01		0.0004		0.0001	0.13	0.0005			0.017	8.84	0.119		88.43925								0.005	0.427	0.94	0.0192	0.007		0.15	0.003	0.023	0.0005						0.013	0.0025		0.0005	0.78		0.01						0.00005			0.004		0.014	0.01			0.003	
