Elem_name	ion.state	Wl	Ei	Ek	Ak	gi	gk	lineLeft	lineRight	bgrLeft	bgrRight	coment
Ag	II	432.08	16.3680948	19.23756	12000000	7	5					
Ag	II	433.436	16.3680948	19.22858	3300000	7	7					
Ag	II	436.539	16.9650712	19.80528	6600000	3	5					
Ag	II	441.324	16.4191862	19.22858	14000000	9	7					
Ag	II	443.181	17.007721	19.80528	14000000	7	5					
Ag	II	445.044	17.0137823	19.79968	10000000	3	3					
Ag	II	448.038	16.4702718	19.23756	6400000	3	5					
Ag	II	448.984	17.0438914	19.80528	6800000	5	5					
Ag	II	449.62	16.4800217	19.23756	11000000	5	5					
Ag	II	451.679	16.4926351	19.23756	4100000	7	5					
Ag	II	453.166	16.4926351	19.22858	7400000	7	7					
Ag	II	513.868	15.5692977	17.9820621	18000000	3	5					
Ag	II	514.425	15.5692977	17.9794495	130000000	3	3					
Ag	I	521.053	3.66398815	6.04348192	75000000	2	4					
Ag	II	531.394	15.7062457	18.0394355	16000000	9	9					
Ag	II	533.399	15.7062457	18.030664	20000000	9	9					
Ag	II	534.151	15.7048539	18.0259981	34000000	11	11					
Ag	II	536.428	15.71703894	18.0283315	22000000	5	7					
Ag	II	539.397	15.71751387	18.0160854	79000000	3	5					
Ag	II	540.16	15.7048539	18.0001753	180000000	11	13					
Ag	II	540.463	15.7062457	18.0002806	180000000	9	11					
Ag	II	541.232	15.71703894	18.007818	3600000	5	3					
Ag	II	541.344	15.71751387	18.007818	89000000	3	3					
Ag	II	542.556	15.71703894	18.0022266	74000000	5	5					
Ag	I	546.702	3.77812896	6.0459926	86000000	4	6					
Ag	I	547.308	3.77812896	6.04348192	14000000	4	4					
Ag	II	548.018	15.71703894	17.9794495	54000000	5	3					
Ag	II	548.968	15.77216857	18.030664	78000000	7	9					
Ag	II	549.536	15.77216857	18.0283315	28000000	7	7					
Ag	II	554.475	15.81089683	18.0469609	21000000	5	7					
Ag	II	555.347	15.80688117	18.0394355	107000000	7	9					
Ag	II	555.968	15.77216857	18.0022266	19000000	7	5					
Ag	II	557.537	15.80688117	18.030664	32000000	7	9					
Ag	II	558.123	15.80688117	18.0283315	37000000	7	7					
Ag	II	558.997	15.8214594	18.0394355	16000000	9	9					
Ag	II	559.133	15.81089683	18.0283315	69000000	5	7					
Ag	II	561.216	15.8214594	18.030664	40000000	9	9					
Ag	II	562.404	15.8214594	18.0259981	140000000	9	11					
Ag	II	793.24	16.3680948	17.931111	32000000	7	5					
Ag	II	795.95	16.9261858	18.483919	37000000	5	3					
Ag	II	800.739	14.9442625	16.4926351	38000000	7	7					
Ag	II	802.52	16.3680948	17.913044	8900000	7	7					
Ag	II	809.85	16.9650712	18.496233	18000000	3	5					
Ag	II	810.248	15.51369761	17.0438914	13000000	3	5					
Ag	II	822.703	14.9442625	16.4512995	1700000	7	9					
Ag	II	825.705	14.99107881	16.4926351	14000000	5	7					
Ag	II	826.514	15.51369761	17.0137823	43000000	3	3					
Ag	II	828.956	15.54822375	17.0438914	30000000	5	5					
Ag	II	830.01	16.4191862	17.913044	34000000	9	7					
Ag	II	832.7	14.99107881	16.4800217	47000000	5	5					
Ag	II	838.188	14.99107881	16.4702718	50000000	5	3					
Ag	II	840.614	14.9442625	16.4191862	47000000	7	9					
Ag	II	843.38	17.0137823	18.483919	24000000	3	3					
Ag	II	849.498	15.54822375	17.007721	43000000	5	7					
Ag	II	854.253	15.51369761	16.9650712	1400000	3	3					
Ag	II	854.33	16.4800217	17.931111	25000000	5	5					
Ag	II	870.778	14.9442625	16.3680948	11700000	7	7					
Ag	II	872.83	16.4926351	17.913044	18000000	7	7					
Ag	II	875.072	15.54822375	16.9650712	43000000	5	3					
Ag	II	877.773	15.51369761	16.9261858	30000000	3	5					
Ag	II	899.764	15.54822375	16.9261858	11000000	5	5					
Ag	II	900.383	14.99107881	16.3680948	29000000	5	7					
Ca	II	155.318	1.692408	9.675031	159000000	4	6					
Ca	II	155.464	1.699932	9.675031	11300000	6	6					
Ca	II	155.464	1.699932	9.675031	169000000	6	8					
Ca	II	164.377	1.692408	9.234953	1400000	4	2					
Ca	II	164.444	1.699932	9.239519	1300000	6	4					
Ca	II	167.386	3.123349	10.530431	22400000	2	4					
Ca	II	168.005	3.150984	10.530773	26500000	4	6					
Ca	II	168.013	3.150984	10.530431	4410000	4	4					
Ca	II	169.178	3.123349	10.451978	9000000	2	2					
Ca	II	169.818	3.150984	10.451978	17900000	4	2					
Ca	II	180.734	3.123349	9.983397	41200000	2	4					
Ca	II	181.45	3.150984	9.983971	48600000	4	6					
Ca	II	181.465	3.150984	9.983397	7000000	4	4					
Ca	II	183.801	1.692408	8.437981	244000000	4	6					
Ca	II	184.006	1.699932	8.437981	17300000	6	6					
Ca	II	184.006	1.699932	8.437981	260000000	6	8					
Ca	II	184.309	3.123349	9.850331	15500000	2	2					
Ca	II	185.069	3.150984	9.850331	30800000	4	2					
Ca	II	210.391	3.123349	9.016407	82000000	2	4					
Ca	II	211.343	3.150984	9.017486	97000000	4	6					
Ca	II	211.382	3.150984	9.016407	16000000	4	4					
Ca	II	213.218	1.699932	7.514841	1800000	6	4					
Ca	II	213.297	1.692408	7.505138	2000000	4	2					
Ca	I	215.148	0	5.7627624	6100000	1	3					
Ca	II	219.848	3.123349	8.762908	31000000	2	2					
Ca	I	220.142	0	5.6320266	15300000	1	3					
Ca	II	220.93	3.150984	8.762908	62000000	4	2					
Ca	I	227.616	0	5.4470569	30100000	1	3					
Ca	I	239.929	0	5.1675384	16700000	1	3					
Ca	I	299.583	1.8793402	6.0178983	36700000	1	3					
Ca	I	299.818	1.8858075	6.0211093	24100000	3	5					
Ca	I	300.051	1.8858075	6.0178983	27900000	3	3					
Ca	I	300.173	1.8858075	6.0162208	158000000	3	1					
Ca	I	300.774	1.8989349	6.0211093	75000000	5	5					
Ca	I	301.009	1.8989349	6.0178983	43000000	5	3					
Ca	I	313.693	1.8793402	5.8317487	4100000	1	3					
